15.0 ;0 ;4.881709640455117e-08 ; -1.6620191305322824e-05 ; 0.0012498380203249714
15.0 ;10 ;2.5251165296568563e-07 ; -4.9477645211968984e-05 ; 0.002700404463925772
15.0 ;20 ;4.863632724032094e-07 ; -8.478989219293728e-05 ; 0.00419089209688683
15.0 ;30 ;7.666265579256003e-07 ; -0.0001349406994788221 ; 0.006124653994874365
15.0 ;40 ;1.2536632189307182e-07 ; -2.2448229765402277e-05 ; 0.0023019067065511113
15.0 ;50 ;-8.384269604825438e-07 ; 2.9358178930697284e-05 ; 0.0030234714591996985
15.0 ;60 ;15.5 ;0 ;1.8332724704764307e-07 ; -4.282306208787375e-05 ; 0.0022569458308166145
15.5 ;10 ;2.7863578583951325e-08 ; -1.1352304764791912e-05 ; 0.0009945579391525737
15.5 ;20 ;-6.666463059914456e-08 ; 1.212856847466042e-05 ; 6.378806354309995e-05
15.5 ;30 ;1.6757693406311207e-07 ; -4.928414338584153e-05 ; 0.0036564894418996442
15.5 ;40 ;-4.748611941006537e-08 ; 1.1326906075217813e-06 ; 0.0013416792428215605
15.5 ;50 ;5.705166669032822e-07 ; -8.873041053764072e-05 ; 0.0052493378805279585
15.5 ;60 ;-2.9953270726726172e-05 ; 0.001737663413456913 ; -0.014822905421217638
16.0 ;0 ;9.906020664692298e-09 ; -4.3180374332001e-06 ; 0.0004486341660670332
16.0 ;10 ;-1.9473417319868776e-08 ; 7.1703108561779195e-06 ; -0.00031244714083846766
16.0 ;20 ;-1.5142352394888382e-08 ; 4.669742248881133e-06 ; -5.1953722389997215e-05
16.0 ;30 ;4.535542078969689e-08 ; -1.9803278558724166e-05 ; 0.002278745840387366
16.0 ;40 ;5.2462640030528155e-08 ; -2.4054769232151345e-05 ; 0.0027214640185622713
16.0 ;50 ;-4.6684265056446274e-08 ; 3.319740002094739e-06 ; 0.0013460371522248742
16.0 ;60 ;1.0931672618002814e-07 ; -6.921985739929507e-05 ; 0.006563637462785168
16.5 ;0 ;16.5 ;10 ;16.5 ;20 ;16.5 ;30 ;16.5 ;40 ;16.5 ;50 ;16.5 ;60 ;-9.599360379060668e-08 ; -1.4875578824857472e-05 ; 0.004099662254712548
